Symbol,Name,Sector,Industry,Exchange,ETF,Winners 1,Winners 1 First Seen,Winners 5,Winners 5 First Seen,Winners 10,Winners 10 First Seen,Winners 100,Winners 100 First Seen,Loosers 1,Loosers 1 First Seen,Loosers 5,Loosers 5 First Seen,Loosers 10,Loosers 10 First Seen,Loosers 100,Loosers 100 First Seen,Random 1,Random 1 First Seen,Random 5,Random 5 First Seen,Random 10,Random 10 First Seen,Random 100,Random 100 First Seen,Screener,Screener First Seen,Screener First Seen Close,Financials Market Cap,Financials Total Cash,Financials Total Debt,Financials Quick Ratio,Financials Current Ratio,Financials Total Revenue,Financials Debt To Equity,Financials Return On Assets,Financials Return On Equity,Financials Free Cashflow,Financials Operating Cashflow
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,NMS,XLC,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,2024390131712,100724998144,28718999552,1.897,2.079,328284012544,9.549,0.15961,0.30871,43988500480,105059000320
CHTR,"Charter Communications, Inc.",Communication Services,Telecom Services,NMS,XLC,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,52016246784,602000000,97564999680,0.336,0.385,54658998272,583.732,0.05356,0.34924,3448624896,14864000000
EA,Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia,NMS,XLC,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,38731722752,2766000128,2184999936,1.296,1.453,7297999872,29.527,0.07139,0.15624,1402375040,2076000000
CMCSA,Comcast Corporation,Communication Services,Telecom Services,NMS,XLC,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,151337304064,6064999936,98128003072,0.544,0.664,121113001984,116.903,0.055749997,0.17489,21741750272,26646999040
T,AT&T Inc.,Communication Services,Telecom Services,NYQ,XLC,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,139747983360,3155000064,149605007360,0.428,0.704,122197000192,123.31,0.03958,0.11788,17859874816,38354001920
TMUS,"T-Mobile US, Inc.",Communication Services,Telecom Services,NMS,XLC,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,226588672000,6416999936,115068002304,0.658,0.838,79095996416,183.709,0.05029,0.14729,13118499840,20757999616
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,NYQ,XLC,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,171537940480,2487000064,178329993216,0.471,0.626,134243000320,182.829,0.04982,0.120950006,8379500032,36024000512
NFLX,"Netflix, Inc.",Communication Services,Entertainment,NMS,XLC,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,272064856064,6655911936,16524193792,0.782,0.948,36304244736,74.727,0.10819,0.31570998,20046862336,7158697984
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,NYQ,XLE,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,528030302208,26460000256,43185999872,0.983,1.36,345134989312,15.632,0.07355,0.1469,29004249088,54869000192
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,NYQ,XLE,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,263120601088,4008000000,23183998976,0.725,1.157,195101999104,14.466,0.06024,0.11761,15933124608,35229999104
EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,NYQ,XLE,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,71944953856,5431000064,4087000064,1.748,2.118,24105000960,14.016,0.13614,0.27056998,3723000064,11600000000
SLB,Schlumberger Limited,Energy,Oil & Gas Equipment & Services,NYQ,XLE,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,61834031104,4003000064,13363999744,1.016,1.492,35145998336,59.982,0.07903,0.21972999,2766500096,6462000128
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,NYQ,XLE,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,56678428672,2444000000,19960000512,0.73,1.145,151853006848,65.428,0.04768,0.16921,2637125120,6736000000
MPC,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing,NYQ,XLE,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,58847490048,8498999808,30111000576,0.867,1.306,148771995648,107.202,0.07514,0.28934,6738999808,10849999872
COP,ConocoPhillips,Energy,Oil & Gas E&P,NYQ,XLE,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,126123368448,6016999936,18352001024,1.097,1.33,58080002048,36.892,0.10863,0.21968001,6793625088,20611999744
VLO,Valero Energy Corporation,Energy,Oil & Gas Refining & Marketing,NYQ,XLE,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,48403009536,5246000128,10741000192,0.966,1.48,134329999360,38.021,0.08099,0.21823,6990249984,8865000448
WMB,"The Williams Companies, Inc.",Energy,Oil & Gas Midstream,NYQ,XLE,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,52730912768,55000000,26261999616,0.266,0.45,10252999680,178.096,0.04555,0.20376,1215500032,5560000000
OKE,"ONEOK, Inc.",Energy,Oil & Gas Midstream,NYQ,XLE,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,49646288896,36000000,21873000448,0.343,0.622,19099000832,130.906,0.07818,0.21406999,1250875008,4454000128
GE,GE Aerospace,Industrials,Aerospace & Defense,NYQ,XLI,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,181220737024,15144999936,20827000832,0.805,1.141,69410996224,110.529,0.02891,0.16128999,4618999808,6857999872
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,NYQ,XLI,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,164021600256,3480999936,37311000576,0.701,1.284,66368000000,217.735,0.106920004,0.62167,7571749888,13136000000
RTX,RTX Corporation,Industrials,Aerospace & Defense,NYQ,XLI,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,154507378688,6010999808,43565998080,0.602,0.993,72417001472,71.795,0.01915,0.03648,9408374784,11102000128
UNP,Union Pacific Corporation,Industrials,Railroads,NYQ,XLI,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,144696721408,1156999936,33197000704,0.764,1.049,24138000384,201.328,0.08788,0.43756,3499749888,8553999872
UBER,"Uber Technologies, Inc.",Technology,Software—Application,NYQ,XLK,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,231,2024-04-12 17:15:12.765617,Random 100,2024-04-12 17:15:12.765616896,74.91999816894531,143998435328,6291999744,11297000448,1.034,1.21,40058998784,81.963,0.03331,0.19178,3908750080,5024999936
HON,Honeywell International Inc.,Industrials,Conglomerates,NMS,XLI,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,128784277504,9806999552,29030000640,0.843,1.206,37333999616,165.725,0.07442,0.32740003,5081625088,6583000064
ETN,Eaton Corporation plc,Industrials,Specialty Industrial Machinery,NYQ,XLI,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,116101890048,2780999936,10492999680,0.982,1.558,24139999232,54.498,0.07194,0.19622,2524624896,3860000000
LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense,NYQ,XLI,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,131473506304,2523000064,19256999936,1.047,1.242,71068999680,311.854,0.09983,0.87394994,5801750016,8766999552
BA,The Boeing Company,Industrials,Aerospace & Defense,NYQ,XLI,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,103460601856,12600000512,57927000064,0.264,1.184,73557000192,,-0.00229,,-3489499904,-3881999872
ADP,"Automatic Data Processing, Inc.",Industrials,Staffing & Employment Services,NMS,XLI,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,106915692544,2913400064,3798599936,0.141,1.01,19202600960,83.53,0.05906,0.9314,3673574912,4157600000
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,NYQ,XLP,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,401459675136,9482000384,33724999680,0.464,0.735,84039000064,66.706,0.10767,0.30677,13313375232,19846000640
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,NMS,XLP,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,379020410880,11498999808,9297000448,0.398,0.941,253695000576,42.704,0.08376,0.31638,5245000192,12106000384
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,NYQ,XLP,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,546558509056,9404999680,66538000384,0.192,0.803,657331978240,75.363,0.06916,0.23464,7845000192,35342000128
KO,The Coca-Cola Company,Consumer Defensive,Beverages—Non-Alcoholic,NYQ,XLP,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,296001863680,19000000512,45063000064,0.805,1.08,46464999424,164.398,0.09073,0.38772,12131375104,11082999808
PM,Philip Morris International Inc.,Consumer Defensive,Tobacco,NYQ,XLP,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,180372357120,4807000064,49195999232,0.443,0.938,36449001472,,0.12538,,8652624896,11589999616
PEP,"PepsiCo, Inc.",Consumer Defensive,Beverages—Non-Alcoholic,NMS,XLP,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,236789743616,6668000256,44927000576,0.597,0.825,92054003712,229.454,0.08917,0.51261,6784249856,12737999872
MDLZ,"Mondelez International, Inc.",Consumer Defensive,Confectioners,NMS,XLP,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,93131980800,1399000064,20245000192,0.241,0.676,35975999488,73.039,0.05709,0.14033,3507749888,4887000064
MO,"Altria Group, Inc.",Consumer Defensive,Tobacco,NYQ,XLP,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,86044680192,1799000064,25023000576,0.281,0.455,20198000640,,0.2054,,7942624768,8981000192
CL,Colgate-Palmolive Company,Consumer Defensive,Household & Personal Products,NYQ,XLP,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,83400065024,1335000064,8675999744,0.591,1.055,19989000192,1800.0,0.16193001,7.5332503,2848999936,3959000064
TGT,Target Corporation,Consumer Defensive,Discount Stores,NYQ,XLP,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,62687313920,3604000000,19981000704,0.181,0.86,106621001728,144.371,0.06842,0.32462,3164250112,8456999936
ACN,Accenture plc,Technology,Information Technology Services,NYQ,XLK,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,197830852608,5542094848,4601543168,1.029,1.157,64475844608,16.078,0.12244,0.26,8045155840,9150984192
BRK-B,Berkshire Hathaway Inc.,Financial Services,Insurance—Diversified,NYQ,XLF,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,930279063552,276941996032,123628003328,2.095,2.278,370108006400,20.335,0.0508,0.11817,50622373888,52237000704
JPM,JPMorgan Chase & Co.,Financial Services,Banks—Diversified,NYQ,XLF,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,585533947904,1457527980032,912828989440,,,161334001664,,0.01349,0.16545,,-10339000320
V,Visa Inc.,Financial Services,Credit Services,NYQ,XLF,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,505461833728,16643999744,20601999360,0.942,1.373,34917998592,51.856,0.16209,0.48548,14696625152,20213000192
MA,Mastercard Incorporated,Financial Services,Credit Services,NYQ,XLF,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,421989351424,7358000128,15605000192,0.741,1.14,26389999616,208.567,0.23647,1.8770399,12009624576,12172999680
BAC,Bank of America Corporation,Financial Services,Banks—Diversified,NYQ,XLF,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,297036709888,850838028288,761600016384,,,93155999744,,0.0076800003,0.08495,,47053000704
WFC,Wells Fargo & Company,Financial Services,Banks—Diversified,NYQ,XLF,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,179582910464,389349998592,318618992640,,,78234001408,,0.00984,0.10429,,23631998976
GS,"The Goldman Sachs Group, Inc.",Financial Services,Capital Markets,NYQ,XLF,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,154824114176,1013968011264,701744021504,1.463,1.59,48895000576,585.382,0.0069700005,0.0949,,-75809996800
SPGI,S&P Global Inc.,Financial Services,Financial Data & Stock Exchanges,NYQ,XLF,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,152903630848,2038000000,12026999808,0.863,1.026,13276000256,30.851,0.05353,0.09255,4082249984,4850999808
AXP,American Express Company,Financial Services,Credit Services,NYQ,XLF,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,169090416640,52605001728,53184999424,1.654,1.657,58106998784,180.044,0.038039997,0.34977,,25097000960
MS,Morgan Stanley,Financial Services,Capital Markets,NYQ,XLF,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,153243697152,528662986752,407455006720,1.72,2.088,56116998144,401.015,0.008880001,0.10401,,-7120000000
LIN,Linde plc,Basic Materials,Specialty Chemicals,NMS,XLB,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,213453389824,4625999872,21518000128,0.73,0.951,32824000512,54.406,0.06784,0.16193001,2915124992,9130000384
SHW,The Sherwin-Williams Company,Basic Materials,Specialty Chemicals,NYQ,XLB,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,87190462464,200000000,12299499520,0.443,0.81,23007700992,327.829,0.1003,0.68071,2477199872,3371300096
FCX,Freeport-McMoRan Inc.,Basic Materials,Copper,NYQ,XLB,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,46,2024-05-16 06:19:00.859388,Random 100,2024-05-16 06:19:00.859387904,,58983104512,5272999936,9425999872,1.113,2.399,24674000896,32.859,0.081199996,0.16131,251750000,6408000000
APD,"Air Products and Chemicals, Inc.",Basic Materials,Specialty Chemicals,NYQ,XLB,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,61854425088,2448199936,14734499840,1.028,1.269,12104399872,88.299,0.05104,0.16211,-2739350016,3692600064
ECL,Ecolab Inc.,Basic Materials,Specialty Chemicals,NYQ,XLB,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,67702968320,1402400000,7000000000,0.891,1.495,15634199552,103.915,0.07297,0.218,1550012544,2900699904
NEM,Newmont Corporation,Basic Materials,Gold,NYQ,XLB,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,54743883776,2652000000,9224999936,0.629,2.106,14874999808,31.205,0.02785,-0.08089,-2765874944,3823000064
CTVA,"Corteva, Inc.",Basic Materials,Agricultural Inputs,NYQ,XLB,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,35692253184,1959000064,4723999744,1.073,1.716,16901000192,18.583,0.02885,0.03415,2345750016,2110000000
NUE,Nucor Corporation,Basic Materials,Steel,NYQ,XLB,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,34447237120,5434158080,7040368128,1.757,2.931,32694519808,32.336,0.085810006,0.17629999,2269796352,5929265152
DOW,Dow Inc.,Basic Materials,Chemicals,NYQ,XLB,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,36910501888,3911000064,17792000000,0.874,1.751,43030999040,94.638,0.02784,0.062480003,2228624896,4614000128
MLM,"Martin Marietta Materials, Inc.",Basic Materials,Building Materials,NYQ,XLB,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,32609028096,109000000,4741000192,0.861,1.864,6617200128,53.631,0.05982,0.25312,1439250048,1182400000
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers—General,NYQ,XLV,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,802891825152,3366200064,29027700736,0.603,1.114,38922801152,212.883,0.13703,0.59248,-675324992,4509799936
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,NYQ,XLV,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,515969056768,31323000832,75097997312,0.776,0.847,385439006720,75.678,0.07069,0.15584,-11781999616,9598999552
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers—General,NYQ,XLV,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,386650865664,25475000320,41491001344,0.765,1.072,86575996928,57.999,0.080979995,0.22146,19137374208,24642000896
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers—General,NYQ,XLV,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,335480946688,13157000192,70938001408,0.594,0.807,54999998464,1039.994,0.07936,0.54262,19637499904,18638000128
MRK,"Merck & Co., Inc.",Healthcare,Drug Manufacturers—General,NYQ,XLV,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,290362490880,11354000384,37788000256,0.933,1.466,62479998976,86.574,0.113809995,0.33383,11793750016,16689999872
TMO,Thermo Fisher Scientific Inc.,Healthcare,Diagnostics & Research,NYQ,XLV,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,227738370048,8823000064,35427000320,1.236,1.725,42346000384,74.528,0.04868,0.13527,6552374784,9347999744
ABT,Abbott Laboratories,Healthcare,Medical Devices,NYQ,XLV,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,189144530944,7218999808,14844999680,1.023,1.68,40725000192,37.525,0.06255,0.14441,5387749888,7900000256
DHR,Danaher Corporation,Healthcare,Diagnostics & Research,NYQ,XLV,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,193632518144,2374000128,18210000896,0.846,1.434,23567998976,36.492,0.03979,0.07982,5088750080,6447000064
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers—General,NMS,XLV,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,173283229696,9301000192,62644998144,0.755,1.264,30933999616,1057.3,0.04456,0.49268,2991375104,6446000128
PFE,Pfizer Inc.,Healthcare,Drug Manufacturers—General,NYQ,XLV,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,161784266752,7100000256,69858000896,0.506,0.863,55165001728,79.407,0.00937,-0.02737,3434374912,8005000192
NEE,"NextEra Energy, Inc.",Utilities,Utilities—Regulated Electric,NYQ,XLU,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,159207407616,1551000064,82632998912,0.294,0.488,25849999360,139.029,0.02803,0.09078,-18709999616,13552000000
SO,The Southern Company,Utilities,Utilities—Regulated Electric,NYQ,XLU,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,95008677888,1152000000,65519001600,0.451,0.914,26133999616,181.438,0.03387,0.1268,-1471250048,8652000256
DUK,Duke Energy Corporation,Utilities,Utilities—Regulated Electric,NYQ,XLU,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,87003996160,390000000,83373998080,0.327,0.811,29590999040,164.103,0.02705,0.092130005,-2722125056,11520000000
CEG,Constellation Energy Corporation,Utilities,Utilities—Renewable,NMS,XLU,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,59370258432,311000000,9123999744,0.535,1.354,23544000512,77.447,0.03569,0.20031999,-497375008,-5511000064
AEP,"American Electric Power Company, Inc.",Utilities,Utilities—Regulated Electric,NMS,XLU,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,51897663488,428200000,44339998720,0.32,0.655,19523799040,169.394,0.02706,0.10514,-324337504,6034800128
SRE,Sempra,Utilities,Utilities—Diversified,NYQ,XLU,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,49644978176,259000000,33176000512,0.247,0.459,13475999744,93.667,0.01952,0.1042,-4350750208,5000999936
D,"Dominion Energy, Inc.",Utilities,Utilities—Regulated Electric,NYQ,XLU,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,45696954368,139000000,41933000704,0.229,0.934,14462000128,154.889,0.02429,0.07542,-7829374976,6216000000
PEG,Public Service Enterprise Group Incorporated,Utilities,Utilities—Regulated Electric,NYQ,XLU,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,39783215104,113000000,21561999360,0.319,0.646,10243999744,136.261,0.02796,0.10694,-1201374976,2540000000
PCG,PG&E Corporation,Utilities,Utilities—Regulated Electric,NYQ,XLU,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,47596642304,1315000064,60610998272,0.725,0.903,24775999488,228.678,0.02319,0.09972,-6309499904,5258999808
EXC,Exelon Corporation,Utilities,Utilities—Regulated Electric,NMS,XLU,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,37498736640,934000000,46195998720,0.561,1.034,22749999104,176.644,0.026099999,0.09455,-2275124992,5395999744
