,2023-06-30
OrdinarySharesNumber,352578862.0
ShareIssued,352578862.0
TotalDebt,95000.0
TangibleBookValue,250476000.0
InvestedCapital,250759000.0
WorkingCapital,83256000.0
NetTangibleAssets,250476000.0
CapitalLeaseObligations,95000.0
CommonStockEquity,250759000.0
TotalCapitalization,250759000.0
TotalEquityGrossMinorityInterest,250759000.0
StockholdersEquity,250759000.0
GainsLossesNotAffectingRetainedEarnings,13464000.0
OtherEquityAdjustments,13464000.0
RetainedEarnings,-33198000.0
CapitalStock,270493000.0
CommonStock,270493000.0
TotalLiabilitiesNetMinorityInterest,16980000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,9174000.0
LongTermDebtAndCapitalLeaseObligation,43000.0
LongTermCapitalLeaseObligation,43000.0
LongTermProvisions,9131000.0
CurrentLiabilities,7806000.0
CurrentDebtAndCapitalLeaseObligation,52000.0
CurrentCapitalLeaseObligation,52000.0
CurrentProvisions,470000.0
PayablesAndAccruedExpenses,7284000.0
Payables,7284000.0
OtherPayable,530000.0
AccountsPayable,6754000.0
TotalAssets,267739000.0
TotalNonCurrentAssets,176677000.0
OtherNonCurrentAssets,106041000.0
InvestmentsAndAdvances,8957000.0
OtherInvestments,8957000.0
GoodwillAndOtherIntangibleAssets,283000.0
OtherIntangibleAssets,283000.0
NetPPE,61396000.0
AccumulatedDepreciation,-120000.0
GrossPPE,61516000.0
OtherProperties,152000.0
MachineryFurnitureEquipment,121000.0
Properties,61243000.0
CurrentAssets,91062000.0
PrepaidAssets,190000.0
Receivables,1819000.0
OtherReceivables,1365000.0
AccountsReceivable,454000.0
CashCashEquivalentsAndShortTermInvestments,89053000.0
OtherShortTermInvestments,113000.0
CashAndCashEquivalents,88940000.0
CashEquivalents,73000000.0
CashFinancial,15940000.0
