,2023-04-30
OrdinarySharesNumber,15039400.0
ShareIssued,15039400.0
NetDebt,14185107.0
TotalDebt,195538868.0
TangibleBookValue,208514937.0
InvestedCapital,400586437.0
WorkingCapital,58603691.0
NetTangibleAssets,208514937.0
CapitalLeaseObligations,3467368.0
CommonStockEquity,208514937.0
TotalCapitalization,276767437.0
TotalEquityGrossMinorityInterest,208514937.0
StockholdersEquity,208514937.0
RetainedEarnings,-1593605162.0
AdditionalPaidInCapital,1702120099.0
CapitalStock,100000000.0
CommonStock,100000000.0
TotalLiabilitiesNetMinorityInterest,244520298.0
TotalNonCurrentLiabilitiesNetMinorityInterest,68440996.0
NonCurrentDeferredLiabilities,188496.0
NonCurrentDeferredTaxesLiabilities,188496.0
LongTermDebtAndCapitalLeaseObligation,68252500.0
LongTermCapitalLeaseObligation,0.0
LongTermDebt,68252500.0
CurrentLiabilities,176079302.0
CurrentDeferredLiabilities,1397470.0
CurrentDeferredRevenue,1397470.0
CurrentDebtAndCapitalLeaseObligation,127286368.0
CurrentCapitalLeaseObligation,3467368.0
CurrentDebt,123819000.0
OtherCurrentBorrowings,123819000.0
PayablesAndAccruedExpenses,47395464.0
Payables,47395464.0
OtherPayable,47250464.0
TotalTaxPayable,145000.0
IncomeTaxPayable,145000.0
TotalAssets,453035235.0
TotalNonCurrentAssets,218352242.0
NonCurrentPrepaidAssets,657740.0
NonCurrentDeferredAssets,212160121.0
NetPPE,5534381.0
AccumulatedDepreciation,-1156051.0
GrossPPE,6690432.0
OtherProperties,3467368.0
MachineryFurnitureEquipment,3223064.0
CurrentAssets,234682993.0
OtherCurrentAssets,1025884.0
PrepaidAssets,5687806.0
Receivables,50082910.0
TaxesReceivable,43731092.0
AccountsReceivable,6351818.0
AllowanceForDoubtfulAccountsReceivable,0.0
GrossAccountsReceivable,6351818.0
CashCashEquivalentsAndShortTermInvestments,177886393.0
CashAndCashEquivalents,177886393.0
CashFinancial,177886393.0
