,2023-06-30
OrdinarySharesNumber,65616298.0
ShareIssued,65616298.0
NetDebt,53712000.0
TotalDebt,56893000.0
TangibleBookValue,-110311000.0
InvestedCapital,-55970000.0
WorkingCapital,-9729000.0
NetTangibleAssets,0.0
CapitalLeaseObligations,2552000.0
CommonStockEquity,-110311000.0
TotalCapitalization,-60759000.0
TotalEquityGrossMinorityInterest,-110311000.0
StockholdersEquity,0.0
RetainedEarnings,-112679000.0
TotalPartnershipCapital,-110311000.0
LimitedPartnershipCapital,2368000.0
TotalLiabilitiesNetMinorityInterest,154058000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,142097000.0
DerivativeProductLiabilities,89634000.0
TradeandOtherPayablesNonCurrent,399000.0
NonCurrentDeferredLiabilities,195000.0
NonCurrentDeferredRevenue,195000.0
NonCurrentDeferredTaxesLiabilities,0.0
LongTermDebtAndCapitalLeaseObligation,51869000.0
LongTermCapitalLeaseObligation,2317000.0
LongTermDebt,49552000.0
CurrentLiabilities,11961000.0
CurrentDebtAndCapitalLeaseObligation,5024000.0
CurrentCapitalLeaseObligation,235000.0
CurrentDebt,4789000.0
OtherCurrentBorrowings,4789000.0
PayablesAndAccruedExpenses,6937000.0
CurrentAccruedExpenses,3716000.0
Payables,3221000.0
AccountsPayable,3221000.0
TotalAssets,43747000.0
TotalNonCurrentAssets,41514000.0
OtherNonCurrentAssets,323000.0
NonCurrentPrepaidAssets,95000.0
NetPPE,41096000.0
AccumulatedDepreciation,-12805000.0
GrossPPE,53901000.0
ConstructionInProgress,5097000.0
OtherProperties,47899000.0
MachineryFurnitureEquipment,484000.0
LandAndImprovements,421000.0
Properties,0.0
CurrentAssets,2232000.0
OtherCurrentAssets,485000.0
Receivables,1118000.0
OtherReceivables,221000.0
NotesReceivable,897000.0
CashCashEquivalentsAndShortTermInvestments,629000.0
CashAndCashEquivalents,629000.0
CashFinancial,629000.0
