,2023-06-30
OrdinarySharesNumber,277864139.0
ShareIssued,277864139.0
TotalDebt,146033.0
TangibleBookValue,11518396.0
InvestedCapital,11518396.0
WorkingCapital,9192220.0
NetTangibleAssets,11518396.0
CapitalLeaseObligations,146033.0
CommonStockEquity,11518396.0
TotalCapitalization,11518396.0
TotalEquityGrossMinorityInterest,11518396.0
StockholdersEquity,11518396.0
GainsLossesNotAffectingRetainedEarnings,3417120.0
OtherEquityAdjustments,2719009.0
ForeignCurrencyTranslationAdjustments,698111.0
RetainedEarnings,-70097484.0
CapitalStock,78198760.0
CommonStock,78198760.0
TotalLiabilitiesNetMinorityInterest,1020909.0
TotalNonCurrentLiabilitiesNetMinorityInterest,72444.0
LongTermDebtAndCapitalLeaseObligation,72444.0
LongTermCapitalLeaseObligation,72444.0
CurrentLiabilities,948465.0
CurrentDebtAndCapitalLeaseObligation,73589.0
CurrentCapitalLeaseObligation,73589.0
PensionandOtherPostRetirementBenefitPlansCurrent,200482.0
PayablesAndAccruedExpenses,674394.0
Payables,674394.0
OtherPayable,287416.0
AccountsPayable,386978.0
TotalAssets,12539305.0
TotalNonCurrentAssets,2398620.0
NetPPE,2398620.0
AccumulatedDepreciation,-275510.0
GrossPPE,2674130.0
OtherProperties,248550.0
MachineryFurnitureEquipment,317837.0
Properties,2107743.0
CurrentAssets,10140685.0
Receivables,83123.0
OtherReceivables,83123.0
CashCashEquivalentsAndShortTermInvestments,10057562.0
CashAndCashEquivalents,10057562.0
CashFinancial,10057562.0
