,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TreasurySharesNumber,0.0,0.0,,,
OrdinarySharesNumber,141552241.0,139367431.0,132217431.0,129517431.0,123033241.0
ShareIssued,141552241.0,139367431.0,132217431.0,129517431.0,123033241.0
NetDebt,,96851.0,75219.0,,91473.0
TotalDebt,56448.0,100000.0,100000.0,100000.0,100000.0
TangibleBookValue,-746928.0,-669142.0,-552190.0,-376856.0,-117763.0
InvestedCapital,-690480.0,-569142.0,-452190.0,-276856.0,-17763.0
WorkingCapital,-724421.0,-646635.0,-529683.0,-501856.0,-117763.0
NetTangibleAssets,-746928.0,-669142.0,-552190.0,-376856.0,-117763.0
CommonStockEquity,-746928.0,-669142.0,-552190.0,-376856.0,-117763.0
TotalCapitalization,-746928.0,-669142.0,-552190.0,-376856.0,-117763.0
TotalEquityGrossMinorityInterest,-746928.0,-669142.0,-552190.0,-376856.0,-117763.0
StockholdersEquity,-746928.0,-669142.0,-552190.0,-376856.0,-117763.0
OtherEquityInterest,-100000.0,,,,
RetainedEarnings,-15998059.0,-15511032.0,-15019830.0,-14699698.0,-13980251.0
AdditionalPaidInCapital,15201584.0,14702528.0,14335428.0,14193330.0,13739460.0
CapitalStock,149547.0,139362.0,132212.0,129512.0,123028.0
CommonStock,149547.0,139362.0,132212.0,129512.0,123028.0
PreferredStock,0.0,0.0,0.0,0.0,0.0
TotalLiabilitiesNetMinorityInterest,1137040.0,829464.0,738055.0,681702.0,290603.0
TotalNonCurrentLiabilitiesNetMinorityInterest,147507.0,147507.0,147507.0,0.0,0.0
NonCurrentDeferredLiabilities,147507.0,147507.0,147507.0,,
NonCurrentDeferredRevenue,147507.0,147507.0,147507.0,,
CurrentLiabilities,989533.0,681957.0,590548.0,681702.0,290603.0
CurrentDeferredLiabilities,144835.0,154918.0,165000.0,398529.0,
CurrentDeferredRevenue,144835.0,154918.0,165000.0,398529.0,
CurrentDebtAndCapitalLeaseObligation,56448.0,100000.0,100000.0,100000.0,100000.0
CurrentDebt,56448.0,100000.0,100000.0,100000.0,100000.0
OtherCurrentBorrowings,56448.0,100000.0,100000.0,100000.0,100000.0
PayablesAndAccruedExpenses,788250.0,427039.0,325548.0,183173.0,190603.0
CurrentAccruedExpenses,488889.0,407203.0,277863.0,159211.0,175779.0
Payables,299361.0,19836.0,47685.0,23962.0,14824.0
AccountsPayable,299361.0,19836.0,47685.0,23962.0,14824.0
TotalAssets,390112.0,160322.0,185865.0,304846.0,172840.0
TotalNonCurrentAssets,125000.0,125000.0,125000.0,125000.0,0.0
NonCurrentPrepaidAssets,125000.0,125000.0,125000.0,125000.0,
CurrentAssets,265112.0,35322.0,60865.0,179846.0,172840.0
PrepaidAssets,4900.0,8650.0,12400.0,16150.0,159898.0
Inventory,23390.0,23390.0,23390.0,23390.0,0.0
FinishedGoods,,,,23390.0,0.0
Receivables,2613.0,133.0,294.0,3848.0,4415.0
NotesReceivable,,,,0.0,0.0
AccountsReceivable,2613.0,133.0,294.0,3848.0,4415.0
GrossAccountsReceivable,,,,,4415.0
CashCashEquivalentsAndShortTermInvestments,234209.0,3149.0,24781.0,136458.0,8527.0
CashAndCashEquivalents,234209.0,3149.0,24781.0,136458.0,8527.0
CashFinancial,234209.0,3149.0,24781.0,136458.0,8527.0
