,2023-06-30
OrdinarySharesNumber,567884769.0
ShareIssued,567884769.0
TotalDebt,937674.0
TangibleBookValue,92574730.0
InvestedCapital,93520724.0
WorkingCapital,23735845.0
NetTangibleAssets,92574730.0
CapitalLeaseObligations,937674.0
CommonStockEquity,93520724.0
TotalCapitalization,93520724.0
TotalEquityGrossMinorityInterest,93520724.0
StockholdersEquity,93520724.0
GainsLossesNotAffectingRetainedEarnings,10835122.0
OtherEquityAdjustments,9815485.0
FixedAssetsRevaluationReserve,1019637.0
RetainedEarnings,-63548569.0
CapitalStock,146234171.0
CommonStock,146234171.0
TotalLiabilitiesNetMinorityInterest,4222838.0
TotalNonCurrentLiabilitiesNetMinorityInterest,724734.0
EmployeeBenefits,72685.0
NonCurrentPensionAndOtherPostretirementBenefitPlans,72685.0
LongTermDebtAndCapitalLeaseObligation,652049.0
LongTermCapitalLeaseObligation,652049.0
CurrentLiabilities,3498104.0
CurrentDebtAndCapitalLeaseObligation,285625.0
CurrentCapitalLeaseObligation,285625.0
PensionandOtherPostRetirementBenefitPlansCurrent,1021613.0
PayablesAndAccruedExpenses,2190866.0
Payables,2190866.0
OtherPayable,1868175.0
AccountsPayable,322691.0
TotalAssets,97743562.0
TotalNonCurrentAssets,70509613.0
InvestmentsAndAdvances,20425949.0
OtherInvestments,5298971.0
LongTermEquityInvestment,15126978.0
InvestmentsinAssociatesatCost,15126978.0
GoodwillAndOtherIntangibleAssets,945994.0
OtherIntangibleAssets,945994.0
NetPPE,49137670.0
AccumulatedDepreciation,-1589150.0
GrossPPE,50726820.0
OtherProperties,49187196.0
MachineryFurnitureEquipment,1539624.0
CurrentAssets,27233949.0
PrepaidAssets,302806.0
Receivables,1728798.0
OtherReceivables,1728798.0
CashCashEquivalentsAndShortTermInvestments,25202345.0
OtherShortTermInvestments,763650.0
CashAndCashEquivalents,24438695.0
CashFinancial,24438695.0
