,2023-06-30
OrdinarySharesNumber,8054222823.0
ShareIssued,8054222823.0
TotalDebt,476560.0
TangibleBookValue,8668048.0
InvestedCapital,9144608.0
WorkingCapital,5122461.0
NetTangibleAssets,8668048.0
CommonStockEquity,8668048.0
TotalCapitalization,9144608.0
TotalEquityGrossMinorityInterest,8668048.0
StockholdersEquity,8668048.0
GainsLossesNotAffectingRetainedEarnings,1130000.0
OtherEquityAdjustments,1130000.0
RetainedEarnings,-111107521.0
CapitalStock,118645569.0
CommonStock,118645569.0
TotalLiabilitiesNetMinorityInterest,779074.0
TotalNonCurrentLiabilitiesNetMinorityInterest,526985.0
EmployeeBenefits,50425.0
NonCurrentPensionAndOtherPostretirementBenefitPlans,50425.0
LongTermDebtAndCapitalLeaseObligation,476560.0
LongTermDebt,476560.0
CurrentLiabilities,252089.0
PayablesAndAccruedExpenses,252089.0
Payables,252089.0
AccountsPayable,252089.0
TotalAssets,9447122.0
TotalNonCurrentAssets,4072572.0
NetPPE,4072572.0
AccumulatedDepreciation,-19312.0
GrossPPE,4091884.0
OtherProperties,4066860.0
MachineryFurnitureEquipment,25024.0
CurrentAssets,5374550.0
Receivables,73641.0
AccountsReceivable,73641.0
CashCashEquivalentsAndShortTermInvestments,5300909.0
CashAndCashEquivalents,5300909.0
CashFinancial,5300909.0
