,2023-09-30
OrdinarySharesNumber,12745219.0
ShareIssued,12745219.0
NetDebt,183113.0
TotalDebt,996495.0
TangibleBookValue,-1328572.0
InvestedCapital,996495.0
WorkingCapital,-1328572.0
NetTangibleAssets,-1328572.0
CommonStockEquity,-1328572.0
TotalCapitalization,-1328572.0
TotalEquityGrossMinorityInterest,-1328572.0
StockholdersEquity,-1328572.0
TotalLiabilitiesNetMinorityInterest,2233563.0
TotalNonCurrentLiabilitiesNetMinorityInterest,0.0
CurrentLiabilities,2233563.0
CurrentDebtAndCapitalLeaseObligation,996495.0
CurrentDebt,996495.0
OtherCurrentBorrowings,996495.0
PayablesAndAccruedExpenses,1237068.0
TotalAssets,904991.0
TotalNonCurrentAssets,0.0
CurrentAssets,904991.0
RestrictedCash,45227.0
PrepaidAssets,20982.0
Receivables,25400.0
OtherReceivables,25400.0
CashCashEquivalentsAndShortTermInvestments,813382.0
CashAndCashEquivalents,813382.0
CashFinancial,813382.0
