,2023-06-30,2023-03-31,2022-12-31
OrdinarySharesNumber,154413610.0,154413610.0,145429993.0
ShareIssued,154413610.0,154413610.0,145429993.0
NetDebt,5400312.0,5235782.0,5232427.0
TotalDebt,5709497.0,5560223.0,5326858.0
TangibleBookValue,-15197433.0,-14120148.0,-12653193.0
InvestedCapital,-9767814.0,-8850206.0,-7356611.0
WorkingCapital,-9111139.0,-8044812.0,-6846711.0
NetTangibleAssets,-12323253.0,-11245968.0,-9566013.0
CapitalLeaseObligations,289639.0,300350.0,40652.0
CommonStockEquity,-15187672.0,-14110079.0,-12642817.0
PreferredStockEquity,2874180.0,2874180.0,3087180.0
TotalCapitalization,-12163492.0,-11085899.0,-9405637.0
TotalEquityGrossMinorityInterest,-12313492.0,-11235899.0,-9555637.0
StockholdersEquity,-12313492.0,-11235899.0,-9555637.0
OtherEquityInterest,261934.0,261934.0,261934.0
GainsLossesNotAffectingRetainedEarnings,-66744138.0,-65666550.0,-63896498.0
OtherEquityAdjustments,-66744138.0,-65666550.0,-63896498.0
RetainedEarnings,,,-65242086.0
AdditionalPaidInCapital,51140118.0,51140118.0,50846312.0
CapitalStock,3028594.0,3028599.0,3232615.0
CommonStock,154414.0,154419.0,145435.0
PreferredStock,2874180.0,2874180.0,3087180.0
TotalLiabilitiesNetMinorityInterest,14306966.0,13237127.0,11799933.0
TotalNonCurrentLiabilitiesNetMinorityInterest,3510844.0,3528861.0,2790327.0
OtherNonCurrentLiabilities,,,72000.0
PreferredSecuritiesOutsideStockEquity,3157555.0,3157555.0,2635345.0
LongTermDebtAndCapitalLeaseObligation,353289.0,371306.0,154982.0
LongTermCapitalLeaseObligation,203289.0,221306.0,4982.0
LongTermDebt,150000.0,150000.0,150000.0
CurrentLiabilities,10796122.0,9708266.0,9009606.0
OtherCurrentLiabilities,20356.0,14114.0,13236.0
CurrentDeferredLiabilities,512321.0,486693.0,481474.0
CurrentDeferredRevenue,512321.0,486693.0,481474.0
CurrentDebtAndCapitalLeaseObligation,5356208.0,5188917.0,5171876.0
CurrentCapitalLeaseObligation,86350.0,79044.0,35670.0
CurrentDebt,5269858.0,5109873.0,5136206.0
OtherCurrentBorrowings,5269858.0,5109873.0,5136206.0
CurrentNotesPayable,,,1000000.0
PayablesAndAccruedExpenses,4907237.0,4018542.0,3343020.0
CurrentAccruedExpenses,2826669.0,2352366.0,1880463.0
InterestPayable,2826669.0,2352366.0,1880463.0
Payables,2080568.0,1666176.0,1462557.0
DuetoRelatedPartiesCurrent,55334.0,49040.0,
AccountsPayable,2025234.0,1617136.0,1462557.0
TotalAssets,1993474.0,2001228.0,2244296.0
TotalNonCurrentAssets,308491.0,337774.0,81401.0
NonCurrentAccountsReceivable,14052.0,15725.0,15918.0
GoodwillAndOtherIntangibleAssets,9761.0,10069.0,10376.0
OtherIntangibleAssets,9761.0,10069.0,10376.0
NetPPE,284678.0,311980.0,55107.0
AccumulatedDepreciation,-54671.0,-52187.0,-335102.0
GrossPPE,339349.0,364167.0,390209.0
OtherProperties,266144.0,290962.0,311812.0
MachineryFurnitureEquipment,73205.0,73205.0,78397.0
CurrentAssets,1684983.0,1663454.0,2162895.0
OtherCurrentAssets,,,7268.0
PrepaidAssets,443135.0,245049.0,189884.0
Inventory,865149.0,1102939.0,1204577.0
InventoriesAdjustmentsAllowances,,,0.0
FinishedGoods,777511.0,932434.0,986995.0
RawMaterials,87638.0,170505.0,217582.0
Receivables,357153.0,291375.0,714655.0
OtherReceivables,3772.0,3772.0,3627.0
AccountsReceivable,353381.0,287603.0,711028.0
AllowanceForDoubtfulAccountsReceivable,-86854.0,-104124.0,0.0
GrossAccountsReceivable,440235.0,391727.0,711028.0
CashCashEquivalentsAndShortTermInvestments,19546.0,24091.0,53779.0
CashAndCashEquivalents,19546.0,24091.0,53779.0
CashFinancial,19546.0,24091.0,53779.0
