,2023-06-30
OrdinarySharesNumber,758206208.0
ShareIssued,758206208.0
TotalDebt,3833828.0
TangibleBookValue,374642354.0
InvestedCapital,374642354.0
WorkingCapital,34599939.0
NetTangibleAssets,374642354.0
CapitalLeaseObligations,3833828.0
CommonStockEquity,374642354.0
TotalCapitalization,374642354.0
TotalEquityGrossMinorityInterest,374642354.0
StockholdersEquity,374642354.0
GainsLossesNotAffectingRetainedEarnings,-4731316.0
OtherEquityAdjustments,20665779.0
ForeignCurrencyTranslationAdjustments,-25397095.0
RetainedEarnings,-215022954.0
CapitalStock,594396624.0
CommonStock,594396624.0
TotalLiabilitiesNetMinorityInterest,17026140.0
TotalNonCurrentLiabilitiesNetMinorityInterest,6195560.0
EmployeeBenefits,160692.0
NonCurrentPensionAndOtherPostretirementBenefitPlans,160692.0
LongTermDebtAndCapitalLeaseObligation,3567291.0
LongTermCapitalLeaseObligation,3567291.0
LongTermProvisions,2467577.0
CurrentLiabilities,10830580.0
CurrentDebtAndCapitalLeaseObligation,266537.0
CurrentCapitalLeaseObligation,266537.0
PensionandOtherPostRetirementBenefitPlansCurrent,409274.0
PayablesAndAccruedExpenses,10154769.0
Payables,10154769.0
OtherPayable,7611508.0
AccountsPayable,2543261.0
TotalAssets,391668494.0
TotalNonCurrentAssets,346237975.0
NetPPE,346237975.0
AccumulatedDepreciation,-1456313.0
GrossPPE,347694288.0
Leases,1487993.0
ConstructionInProgress,83211.0
OtherProperties,343146724.0
MachineryFurnitureEquipment,2341444.0
LandAndImprovements,634916.0
CurrentAssets,45430519.0
OtherCurrentAssets,-1.0
PrepaidAssets,499756.0
Receivables,3680058.0
OtherReceivables,3680058.0
CashCashEquivalentsAndShortTermInvestments,41250706.0
OtherShortTermInvestments,480560.0
CashAndCashEquivalents,40770146.0
CashEquivalents,33022453.0
CashFinancial,7747693.0
