,2023-06-30
OrdinarySharesNumber,179774362.0
ShareIssued,179774362.0
TotalDebt,241548.0
TangibleBookValue,8614190.0
InvestedCapital,9115415.0
WorkingCapital,7055600.0
NetTangibleAssets,8614190.0
CapitalLeaseObligations,241548.0
CommonStockEquity,9115415.0
TotalCapitalization,9115415.0
TotalEquityGrossMinorityInterest,9115415.0
StockholdersEquity,9115415.0
GainsLossesNotAffectingRetainedEarnings,5851250.0
OtherEquityAdjustments,5876129.0
ForeignCurrencyTranslationAdjustments,-24879.0
RetainedEarnings,-150444885.0
CapitalStock,153709050.0
CommonStock,153709050.0
TotalLiabilitiesNetMinorityInterest,4788906.0
TotalNonCurrentLiabilitiesNetMinorityInterest,324246.0
EmployeeBenefits,252847.0
NonCurrentPensionAndOtherPostretirementBenefitPlans,252847.0
LongTermDebtAndCapitalLeaseObligation,71399.0
LongTermCapitalLeaseObligation,71399.0
CurrentLiabilities,4464660.0
OtherCurrentLiabilities,572798.0
CurrentDebtAndCapitalLeaseObligation,170149.0
CurrentCapitalLeaseObligation,170149.0
PensionandOtherPostRetirementBenefitPlansCurrent,652876.0
CurrentProvisions,1537459.0
PayablesAndAccruedExpenses,1531378.0
Payables,1531378.0
OtherPayable,780093.0
AccountsPayable,751285.0
TotalAssets,13904321.0
TotalNonCurrentAssets,2384061.0
GoodwillAndOtherIntangibleAssets,501225.0
OtherIntangibleAssets,501225.0
NetPPE,1882836.0
AccumulatedDepreciation,-6009641.0
GrossPPE,7892477.0
Leases,611685.0
OtherProperties,934835.0
MachineryFurnitureEquipment,6345957.0
CurrentAssets,11520260.0
OtherCurrentAssets,87221.0
PrepaidAssets,618830.0
Inventory,2737488.0
InventoriesAdjustmentsAllowances,-1413088.0
FinishedGoods,205714.0
RawMaterials,3944862.0
Receivables,2563865.0
OtherReceivables,2508474.0
AccountsReceivable,55391.0
CashCashEquivalentsAndShortTermInvestments,5512856.0
CashAndCashEquivalents,5512856.0
CashFinancial,5512856.0
