,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TreasurySharesNumber,599518678.0,596284676.0,592049299.0,589808870.0,582896393.0
PreferredSharesNumber,119998000.0,119998000.0,159998000.0,159998000.0,159998000.0
OrdinarySharesNumber,323376354.0,326604718.0,330811807.0,332884318.0,334918639.0
ShareIssued,922895032.0,922889394.0,922861106.0,922693188.0,917815032.0
NetDebt,89439000000.0,68882000000.0,43381000000.0,94581000000.0,80220000000.0
TotalDebt,333248000000.0,310983000000.0,316425000000.0,326037000000.0,324199000000.0
TangibleBookValue,98609000000.0,98820000000.0,97927000000.0,98402000000.0,98103000000.0
InvestedCapital,436718000000.0,414835000000.0,420102000000.0,430714000000.0,428531000000.0
NetTangibleAssets,109812000000.0,110023000000.0,108630000000.0,109105000000.0,108806000000.0
CapitalLeaseObligations,2232000000.0,2222000000.0,2113000000.0,2129000000.0,2154000000.0
CommonStockEquity,105702000000.0,106074000000.0,105790000000.0,106806000000.0,106486000000.0
PreferredStockEquity,11203000000.0,11203000000.0,10703000000.0,10703000000.0,10703000000.0
TotalCapitalization,364772000000.0,347347000000.0,353408000000.0,365335000000.0,371434000000.0
TotalEquityGrossMinorityInterest,116905000000.0,117277000000.0,116493000000.0,117509000000.0,117189000000.0
StockholdersEquity,116905000000.0,117277000000.0,116493000000.0,117509000000.0,117189000000.0
OtherEquityInterest,5121000000.0,5117000000.0,4931000000.0,4823000000.0,5696000000.0
GainsLossesNotAffectingRetainedEarnings,-2918000000.0,-2599000000.0,-3237000000.0,-2601000000.0,-3010000000.0
TreasuryStock,100445000000.0,99429000000.0,97917000000.0,97159000000.0,94631000000.0
RetainedEarnings,143688000000.0,142743000000.0,141798000000.0,141591000000.0,139372000000.0
AdditionalPaidInCapital,60247000000.0,60233000000.0,60206000000.0,60143000000.0,59050000000.0
CapitalStock,11212000000.0,11212000000.0,10712000000.0,10712000000.0,10712000000.0
CommonStock,9000000.0,9000000.0,9000000.0,9000000.0,9000000.0
PreferredStock,11203000000.0,11203000000.0,10703000000.0,10703000000.0,10703000000.0
TotalLiabilitiesNetMinorityInterest,1524689000000.0,1459876000000.0,1454893000000.0,1420840000000.0,1324610000000.0
PreferredSecuritiesOutsideStockEquity,363000000.0,471000000.0,531000000.0,621000000.0,649000000.0
DerivativeProductLiabilities,56754000000.0,54817000000.0,50937000000.0,52042000000.0,54735000000.0
EmployeeBenefits,7823000000.0,6553000000.0,4757000000.0,3708000000.0,7250000000.0
LongTermDebtAndCapitalLeaseObligation,250099000000.0,232292000000.0,239028000000.0,249955000000.0,256399000000.0
LongTermCapitalLeaseObligation,2232000000.0,2222000000.0,2113000000.0,2129000000.0,2154000000.0
LongTermDebt,247867000000.0,230070000000.0,236915000000.0,247826000000.0,254245000000.0
CurrentDebtAndCapitalLeaseObligation,83149000000.0,78691000000.0,77397000000.0,76082000000.0,67800000000.0
CurrentDebt,83149000000.0,78691000000.0,77397000000.0,76082000000.0,67800000000.0
OtherCurrentBorrowings,81936000000.0,77236000000.0,77318000000.0,72875000000.0,66082000000.0
CommercialPaper,1213000000.0,1455000000.0,79000000.0,3207000000.0,1718000000.0
PayablesAndAccruedExpenses,244113000000.0,263179000000.0,268486000000.0,277105000000.0,273447000000.0
CurrentAccruedExpenses,10438000000.0,7855000000.0,7969000000.0,8123000000.0,8733000000.0
Payables,233675000000.0,255324000000.0,260517000000.0,268982000000.0,264714000000.0
TotalTaxPayable,2947000000.0,2982000000.0,2674000000.0,2681000000.0,2669000000.0
IncomeTaxPayable,2947000000.0,2982000000.0,2674000000.0,2681000000.0,2669000000.0
AccountsPayable,230728000000.0,252342000000.0,257843000000.0,266301000000.0,262045000000.0
TotalAssets,1641594000000.0,1577153000000.0,1571386000000.0,1538349000000.0,1441799000000.0
InvestmentsAndAdvances,573229000000.0,544528000000.0,488851000000.0,489065000000.0,372461000000.0
HeldToMaturitySecurities,56835000000.0,52490000000.0,47494000000.0,47124000000.0,46343000000.0
AvailableForSaleSecurities,56069000000.0,51906000000.0,60574000000.0,62974000000.0,70340000000.0
TradingSecurities,426390000000.0,398998000000.0,349960000000.0,357275000000.0,241832000000.0
LongTermEquityInvestment,762000000.0,713000000.0,737000000.0,740000000.0,766000000.0
GoodwillAndOtherIntangibleAssets,7093000000.0,7254000000.0,7863000000.0,8404000000.0,8383000000.0
OtherIntangibleAssets,1177000000.0,1341000000.0,1921000000.0,1965000000.0,2009000000.0
Goodwill,5916000000.0,5913000000.0,5942000000.0,6439000000.0,6374000000.0
NetPPE,13415000000.0,15303000000.0,17617000000.0,18609000000.0,19246000000.0
AccumulatedDepreciation,-13640000000.0,-13820000000.0,-13650000000.0,-12880000000.0,-12190000000.0
GrossPPE,27055000000.0,29123000000.0,31267000000.0,31489000000.0,31436000000.0
OtherProperties,27055000000.0,29123000000.0,31267000000.0,31489000000.0,31436000000.0
Receivables,148577000000.0,155250000000.0,168842000000.0,159422000000.0,147027000000.0
OtherReceivables,16082000000.0,14384000000.0,11565000000.0,14789000000.0,11579000000.0
AccountsReceivable,132495000000.0,140866000000.0,157277000000.0,144633000000.0,135448000000.0
OtherShortTermInvestments,33173000000.0,40421000000.0,30086000000.0,20952000000.0,13180000000.0
CashAndCashEquivalents,241577000000.0,239879000000.0,270931000000.0,229327000000.0,241825000000.0
