,2022-12-31
OrdinarySharesNumber,368334346.0
ShareIssued,368334346.0
TangibleBookValue,63918147.0
InvestedCapital,63918147.0
WorkingCapital,14073504.0
NetTangibleAssets,63918147.0
CommonStockEquity,63918147.0
TotalCapitalization,63918147.0
TotalEquityGrossMinorityInterest,63918147.0
StockholdersEquity,63918147.0
GainsLossesNotAffectingRetainedEarnings,16458029.0
OtherEquityAdjustments,13868006.0
ForeignCurrencyTranslationAdjustments,2590023.0
RetainedEarnings,-80406201.0
CapitalStock,127866319.0
CommonStock,127866319.0
TotalLiabilitiesNetMinorityInterest,954859.0
TotalNonCurrentLiabilitiesNetMinorityInterest,52160.0
EmployeeBenefits,52160.0
NonCurrentPensionAndOtherPostretirementBenefitPlans,52160.0
CurrentLiabilities,902699.0
PensionandOtherPostRetirementBenefitPlansCurrent,141024.0
PayablesAndAccruedExpenses,761675.0
Payables,761675.0
OtherPayable,59545.0
AccountsPayable,702130.0
TotalAssets,64873006.0
TotalNonCurrentAssets,49896803.0
NonCurrentAccountsReceivable,13398870.0
InvestmentsAndAdvances,36482469.0
LongTermEquityInvestment,36482469.0
InvestmentsinAssociatesatCost,36482469.0
NetPPE,15464.0
AccumulatedDepreciation,-23054.0
GrossPPE,38518.0
MachineryFurnitureEquipment,38518.0
CurrentAssets,14976203.0
PrepaidAssets,78013.0
Receivables,25163.0
OtherReceivables,25163.0
CashCashEquivalentsAndShortTermInvestments,14873027.0
CashAndCashEquivalents,14873027.0
CashFinancial,14873027.0
