,2023-09-30,2023-06-30,2023-03-31
TreasurySharesNumber,0.0,,
OrdinarySharesNumber,159514399.0,158281928.0,158201765.0
ShareIssued,159514399.0,158281928.0,158201765.0
NetDebt,11337642.0,6741347.0,
TotalDebt,19759996.0,12659909.0,6089609.0
TangibleBookValue,-2614534.0,85516.0,4756511.0
InvestedCapital,17061658.0,12651275.0,10734181.0
WorkingCapital,4704966.0,2142669.0,7723688.0
NetTangibleAssets,-2614534.0,85516.0,4756511.0
CapitalLeaseObligations,83804.0,94150.0,111939.0
CommonStockEquity,-2614534.0,85516.0,4756511.0
TotalCapitalization,17061658.0,12651275.0,10734181.0
TotalEquityGrossMinorityInterest,-2622631.0,77774.0,4749319.0
MinorityInterest,-8097.0,-7742.0,-7192.0
StockholdersEquity,-2614534.0,85516.0,4756511.0
GainsLossesNotAffectingRetainedEarnings,12814626.0,13182114.0,12502681.0
RetainedEarnings,-106892905.0,-103538725.0,-98081205.0
CapitalStock,91463745.0,90442127.0,90335035.0
CommonStock,91463745.0,90442127.0,90335035.0
TotalLiabilitiesNetMinorityInterest,25365674.0,18602361.0,9357022.0
TotalNonCurrentLiabilitiesNetMinorityInterest,19756239.0,12668972.0,6112556.0
OtherNonCurrentLiabilities,38948.0,50054.0,66568.0
LongTermDebtAndCapitalLeaseObligation,19717291.0,12618918.0,6045988.0
LongTermCapitalLeaseObligation,41099.0,53159.0,68318.0
LongTermDebt,19676192.0,12565759.0,5977670.0
CurrentLiabilities,5609435.0,5933389.0,3244466.0
OtherCurrentLiabilities,3951185.0,3779038.0,957953.0
CurrentDebtAndCapitalLeaseObligation,42705.0,40991.0,43621.0
CurrentCapitalLeaseObligation,42705.0,40991.0,43621.0
PayablesAndAccruedExpenses,1615545.0,2113360.0,2242892.0
CurrentAccruedExpenses,405257.0,264120.0,501249.0
InterestPayable,0.0,0.0,288059.0
Payables,1210288.0,1849240.0,1741643.0
AccountsPayable,1210288.0,1849240.0,1741643.0
TotalAssets,22743043.0,18680135.0,14106341.0
TotalNonCurrentAssets,12428642.0,10604077.0,3138187.0
NonCurrentPrepaidAssets,1420828.0,1159821.0,2249490.0
NetPPE,11007814.0,9444256.0,888697.0
AccumulatedDepreciation,-448426.0,-409202.0,-404090.0
GrossPPE,11456240.0,9853458.0,1292787.0
Leases,170234.0,168660.0,177026.0
ConstructionInProgress,1508264.0,,
OtherProperties,50932.0,45171.0,45008.0
MachineryFurnitureEquipment,858552.0,841674.0,971286.0
BuildingsAndImprovements,72677.0,82738.0,99467.0
LandAndImprovements,8795581.0,8715215.0,
CurrentAssets,10314401.0,8076058.0,10968154.0
PrepaidAssets,417195.0,458124.0,155171.0
Receivables,1558656.0,1793522.0,1990634.0
TaxesReceivable,1438396.0,1585291.0,1799336.0
AccruedInterestReceivable,120260.0,208231.0,191298.0
CashCashEquivalentsAndShortTermInvestments,8338550.0,5824412.0,8822349.0
CashAndCashEquivalents,8338550.0,5824412.0,8822349.0
CashEquivalents,35000.0,35000.0,35000.0
CashFinancial,8303550.0,5789412.0,8787349.0
