,2023-09-30,2023-03-31,2022-12-31
OrdinarySharesNumber,102205238.0,81465241.0,70224291.0
ShareIssued,102205238.0,81465241.0,70224291.0
TangibleBookValue,3083072.0,1586502.0,-27084.0
InvestedCapital,3083072.0,1586502.0,-27084.0
WorkingCapital,2942554.0,1414984.0,-183602.0
NetTangibleAssets,3083072.0,1586502.0,-27084.0
CommonStockEquity,3083072.0,1586502.0,-27084.0
TotalCapitalization,3083072.0,1586502.0,-27084.0
TotalEquityGrossMinorityInterest,3083072.0,1586502.0,-27084.0
StockholdersEquity,3083072.0,1586502.0,-27084.0
OtherEquityInterest,2379204.0,2178822.0,1699834.0
RetainedEarnings,-11638509.0,-9382447.0,-8835530.0
CapitalStock,12342377.0,8790127.0,7108612.0
CommonStock,12342377.0,8790127.0,7108612.0
TotalLiabilitiesNetMinorityInterest,1775839.0,205742.0,1193226.0
TotalNonCurrentLiabilitiesNetMinorityInterest,0.0,0.0,0.0
CurrentLiabilities,1775839.0,205742.0,1193226.0
OtherCurrentLiabilities,1154800.0,,
PayablesAndAccruedExpenses,621039.0,205742.0,1193226.0
Payables,621039.0,205742.0,1193226.0
DuetoRelatedPartiesCurrent,9681.0,3655.0,
AccountsPayable,611358.0,202087.0,1193226.0
TotalAssets,4858911.0,1792244.0,1166142.0
TotalNonCurrentAssets,140518.0,171518.0,156518.0
OtherNonCurrentAssets,50518.0,36518.0,36518.0
InvestmentsAndAdvances,90000.0,135000.0,120000.0
InvestmentinFinancialAssets,90000.0,135000.0,
FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,90000.0,135000.0,
NetPPE,,,0.0
AccumulatedDepreciation,,,0.0
GrossPPE,,,0.0
MachineryFurnitureEquipment,,,0.0
CurrentAssets,4718393.0,1620726.0,1009624.0
PrepaidAssets,23041.0,60155.0,7208.0
Receivables,172347.0,51186.0,295765.0
DuefromRelatedPartiesCurrent,8169.0,4216.0,0.0
TaxesReceivable,,,295765.0
AccountsReceivable,164178.0,46970.0,
CashCashEquivalentsAndShortTermInvestments,4523005.0,1509385.0,706651.0
CashAndCashEquivalents,4523005.0,1509385.0,706651.0
CashFinancial,4523005.0,1509385.0,706651.0
