,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TreasurySharesNumber,648055073.0,635672022.0,635538156.0,634260938.0,630646687.0
OrdinarySharesNumber,1348482705.0,1365891091.0,1360999622.0,1362276840.0,1365891091.0
ShareIssued,1996537778.0,2001563113.0,1996537778.0,1996537778.0,1996537778.0
NetDebt,17598000000.0,18376000000.0,19744000000.0,20285000000.0,21010000000.0
TotalDebt,19945000000.0,20452000000.0,21718000000.0,22710000000.0,23447000000.0
TangibleBookValue,-15400000000.0,-14247000000.0,-14862000000.0,-15186000000.0,-16277000000.0
InvestedCapital,47740000000.0,48521000000.0,49873000000.0,50430000000.0,49816000000.0
WorkingCapital,-7310000000.0,-7421000000.0,-6380000000.0,-5860000000.0,-6640000000.0
NetTangibleAssets,-15400000000.0,-14247000000.0,-14862000000.0,-15186000000.0,-16277000000.0
CapitalLeaseObligations,537000000.0,466000000.0,492000000.0,508000000.0,514000000.0
CommonStockEquity,28332000000.0,28535000000.0,28647000000.0,28228000000.0,26883000000.0
TotalCapitalization,45219000000.0,44946000000.0,46794000000.0,46784000000.0,47134000000.0
TotalEquityGrossMinorityInterest,28366000000.0,28560000000.0,28679000000.0,28274000000.0,26920000000.0
MinorityInterest,34000000.0,25000000.0,32000000.0,46000000.0,37000000.0
StockholdersEquity,28332000000.0,28535000000.0,28647000000.0,28228000000.0,26883000000.0
GainsLossesNotAffectingRetainedEarnings,-10946000000.0,-11232000000.0,-10710000000.0,-10814000000.0,-10947000000.0
OtherEquityAdjustments,-10946000000.0,-11232000000.0,-10710000000.0,-10814000000.0,-10947000000.0
TreasuryStock,27174000000.0,26280000000.0,26249000000.0,26110000000.0,25794000000.0
RetainedEarnings,34236000000.0,33866000000.0,33458000000.0,33040000000.0,31481000000.0
AdditionalPaidInCapital,32216000000.0,32181000000.0,32148000000.0,32112000000.0,32143000000.0
CapitalStock,0.0,0.0,0.0,0.0,0.0
CommonStock,0.0,0.0,0.0,0.0,0.0
TotalLiabilitiesNetMinorityInterest,43025000000.0,42300000000.0,43346000000.0,44512000000.0,44241000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,24012000000.0,23364000000.0,25344000000.0,25981000000.0,27510000000.0
OtherNonCurrentLiabilities,2735000000.0,2479000000.0,2593000000.0,2668000000.0,2688000000.0
EmployeeBenefits,561000000.0,564000000.0,587000000.0,601000000.0,620000000.0
NonCurrentPensionAndOtherPostretirementBenefitPlans,561000000.0,564000000.0,587000000.0,601000000.0,620000000.0
NonCurrentDeferredLiabilities,3292000000.0,3444000000.0,3525000000.0,3648000000.0,3437000000.0
NonCurrentDeferredTaxesLiabilities,3292000000.0,3444000000.0,3525000000.0,3648000000.0,3437000000.0
LongTermDebtAndCapitalLeaseObligation,17424000000.0,16877000000.0,18639000000.0,19064000000.0,20765000000.0
LongTermCapitalLeaseObligation,537000000.0,466000000.0,492000000.0,508000000.0,514000000.0
LongTermDebt,16887000000.0,16411000000.0,18147000000.0,18556000000.0,20251000000.0
CurrentLiabilities,19013000000.0,18936000000.0,18002000000.0,18531000000.0,16731000000.0
OtherCurrentLiabilities,4330000000.0,3956000000.0,3846000000.0,3547000000.0,3168000000.0
CurrentDebtAndCapitalLeaseObligation,2521000000.0,3575000000.0,3079000000.0,3646000000.0,2682000000.0
CurrentCapitalLeaseObligation,,,,,95000000.0
CurrentDebt,2521000000.0,3575000000.0,3079000000.0,3646000000.0,2682000000.0
OtherCurrentBorrowings,2101000000.0,2354000000.0,901000000.0,1185000000.0,383000000.0
LineOfCredit,74000000.0,79000000.0,98000000.0,111000000.0,90000000.0
CommercialPaper,346000000.0,1142000000.0,2080000000.0,2350000000.0,2209000000.0
PensionandOtherPostRetirementBenefitPlansCurrent,1158000000.0,1043000000.0,816000000.0,785000000.0,949000000.0
PayablesAndAccruedExpenses,11004000000.0,10362000000.0,10261000000.0,10553000000.0,9932000000.0
CurrentAccruedExpenses,2683000000.0,2704000000.0,2521000000.0,2668000000.0,2370000000.0
Payables,8321000000.0,7658000000.0,7740000000.0,7885000000.0,7562000000.0
AccountsPayable,8321000000.0,7658000000.0,7740000000.0,7885000000.0,7562000000.0
TotalAssets,71391000000.0,70860000000.0,72025000000.0,72786000000.0,71161000000.0
TotalNonCurrentAssets,59688000000.0,59345000000.0,60403000000.0,60115000000.0,61070000000.0
OtherNonCurrentAssets,886000000.0,2173000000.0,2165000000.0,2000000000.0,1862000000.0
DefinedPensionBenefit,1043000000.0,1106000000.0,1108000000.0,1065000000.0,1016000000.0
NonCurrentPrepaidAssets,1043000000.0,1106000000.0,1108000000.0,1065000000.0,1016000000.0
NonCurrentDeferredAssets,408000000.0,483000000.0,432000000.0,451000000.0,473000000.0
NonCurrentDeferredTaxesAssets,408000000.0,483000000.0,432000000.0,451000000.0,473000000.0
InvestmentsAndAdvances,3242000000.0,3051000000.0,3245000000.0,3397000000.0,4879000000.0
LongTermEquityInvestment,3242000000.0,3051000000.0,3245000000.0,3397000000.0,4879000000.0
GoodwillAndOtherIntangibleAssets,43732000000.0,42782000000.0,43509000000.0,43414000000.0,43160000000.0
OtherIntangibleAssets,19836000000.0,19475000000.0,19839000000.0,19810000000.0,19710000000.0
Goodwill,23896000000.0,23307000000.0,23670000000.0,23604000000.0,23450000000.0
NetPPE,10377000000.0,9750000000.0,9944000000.0,9788000000.0,9680000000.0
AccumulatedDepreciation,-7996000000.0,-7631000000.0,-7659000000.0,-7441000000.0,-7211000000.0
GrossPPE,18373000000.0,17381000000.0,17603000000.0,17229000000.0,16891000000.0
ConstructionInProgress,1118000000.0,990000000.0,915000000.0,825000000.0,879000000.0
OtherProperties,683000000.0,608000000.0,636000000.0,657000000.0,660000000.0
MachineryFurnitureEquipment,12736000000.0,12100000000.0,12298000000.0,12050000000.0,11724000000.0
BuildingsAndImprovements,3452000000.0,3313000000.0,3375000000.0,3319000000.0,3250000000.0
LandAndImprovements,384000000.0,370000000.0,379000000.0,378000000.0,378000000.0
Properties,0.0,0.0,0.0,0.0,0.0
CurrentAssets,11703000000.0,11515000000.0,11622000000.0,12671000000.0,10091000000.0
OtherCurrentAssets,1766000000.0,1806000000.0,2530000000.0,2815000000.0,880000000.0
Inventory,3615000000.0,3808000000.0,3825000000.0,3627000000.0,3381000000.0
InventoriesAdjustmentsAllowances,-148000000.0,-143000000.0,-148000000.0,-149000000.0,-151000000.0
FinishedGoods,2790000000.0,2924000000.0,2881000000.0,2680000000.0,2501000000.0
RawMaterials,973000000.0,1027000000.0,1092000000.0,1096000000.0,1031000000.0
Receivables,4512000000.0,4291000000.0,3785000000.0,4312000000.0,3907000000.0
OtherReceivables,878000000.0,793000000.0,851000000.0,810000000.0,819000000.0
AccountsReceivable,3634000000.0,3498000000.0,2934000000.0,3502000000.0,3088000000.0
AllowanceForDoubtfulAccountsReceivable,-66000000.0,-63000000.0,-64000000.0,-60000000.0,-45000000.0
GrossAccountsReceivable,3700000000.0,3561000000.0,2998000000.0,3562000000.0,3133000000.0
CashCashEquivalentsAndShortTermInvestments,1810000000.0,1610000000.0,1482000000.0,1917000000.0,1923000000.0
CashAndCashEquivalents,1810000000.0,1610000000.0,1482000000.0,1917000000.0,1923000000.0
