,2023-09-30,2023-06-30,2023-03-31
OrdinarySharesNumber,49793907.0,49793907.0,49793907.0
ShareIssued,49793907.0,49793907.0,49793907.0
TotalDebt,27000.0,7000.0,16000.0
TangibleBookValue,1059000.0,1189000.0,1838000.0
InvestedCapital,1396000.0,1536000.0,2194000.0
WorkingCapital,2095000.0,2395000.0,3099000.0
NetTangibleAssets,1059000.0,1189000.0,1838000.0
CapitalLeaseObligations,27000.0,7000.0,16000.0
CommonStockEquity,1396000.0,1536000.0,2194000.0
TotalCapitalization,1396000.0,1536000.0,2194000.0
TotalEquityGrossMinorityInterest,1396000.0,1536000.0,2194000.0
MinorityInterest,0.0,0.0,0.0
StockholdersEquity,1396000.0,1536000.0,2194000.0
RetainedEarnings,-5775000.0,-5607000.0,-4920000.0
AdditionalPaidInCapital,191000.0,163000.0,134000.0
CapitalStock,6980000.0,6980000.0,6980000.0
CommonStock,6980000.0,6980000.0,6980000.0
TotalLiabilitiesNetMinorityInterest,5866000.0,6188000.0,6606000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,1943000.0,2087000.0,2137000.0
NonCurrentDeferredLiabilities,0.0,0.0,0.0
NonCurrentDeferredTaxesLiabilities,0.0,0.0,0.0
LongTermProvisions,1943000.0,2087000.0,2137000.0
CurrentLiabilities,3923000.0,4101000.0,4469000.0
CurrentDebtAndCapitalLeaseObligation,27000.0,7000.0,16000.0
CurrentCapitalLeaseObligation,27000.0,7000.0,16000.0
CurrentProvisions,950000.0,1225000.0,1123000.0
PayablesAndAccruedExpenses,2946000.0,2869000.0,3330000.0
TotalAssets,7262000.0,7724000.0,8800000.0
TotalNonCurrentAssets,1244000.0,1228000.0,1232000.0
NonCurrentPrepaidAssets,882000.0,871000.0,861000.0
GoodwillAndOtherIntangibleAssets,337000.0,347000.0,356000.0
OtherIntangibleAssets,337000.0,347000.0,356000.0
NetPPE,25000.0,10000.0,15000.0
GrossPPE,25000.0,10000.0,15000.0
OtherProperties,25000.0,10000.0,15000.0
CurrentAssets,6018000.0,6496000.0,7568000.0
RestrictedCash,58000.0,58000.0,58000.0
Receivables,309000.0,354000.0,198000.0
AccountsReceivable,309000.0,354000.0,198000.0
CashCashEquivalentsAndShortTermInvestments,5651000.0,6084000.0,7312000.0
CashAndCashEquivalents,5651000.0,6084000.0,7312000.0
